GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP JUnit + JaCoCo,com.example.tp,StringTools,0,66,0,14,0,14,0,10,0,3
TP JUnit + JaCoCo,com.example.tp,DateUtils,3,20,0,6,1,3,1,4,1,1
